Set M,E: locations with facility,"P: potential facility locations, C: competitor"
E1,,
E2,,
E3,,
E4,,
E5,,
E6,,
E7,,
E8,,
E9,,
E10,,
E11,,
E12,,
E13,,
E14,,
E15,,
E16,,
E17,,
E18,,
E19,,
E20,,
E21,,
E22,,
E23,,
E24,,
E25,,
E26,,
E27,,
E28,,
E29,,
E30,,
E31,,
E32,,
E33,,
E34,,
E35,,
E36,,
E37,,
E38,,
E39,,
E40,,
E41,,
E42,,
E43,,
E44,,
E45,,
E46,,
P1,,
P2,,
P3,,
P4,,
P5,,
P6,,
P7,,
P8,,
P9,,
P10,,
P11,,
P12,,
P13,,
P14,,
P15,,
P16,,
P17,,
P18,,
P19,,
P20,,
P21,,
P22,,
P23,,
P24,,
P25,,
P26,,
P27,,
P28,,
P29,,
P30,,
P31,,
P32,,
P33,,
P34,,
P35,,
P36,,
P37,,
P38,,
P39,,
P40,,
P41,,
P42,,
P43,,
P44,,
P45,,
P46,,
P47,,
P48,,
P49,,
P50,,
C1,,
C2,,
C3,,
C4,,
C5,,
C6,,
C7,,
C8,,
C9,,
C10,,
C11,,
C12,,
C13,,
C14,,
C15,,
C16,,
C17,,
C18,,
C19,,
C20,,
C21,,
C22,,
C23,,
C24,,
C25,,
C26,,
C27,,
C28,,
C29,,
C30,,
C31,,
C32,,
C33,,
C34,,
C35,,
C36,,
C37,,
C38,,
C39,,
C40,,
C41,,
C42,,
C43,,
C44,,
C45,,
C46,,
C47,,
C48,,
C49,,
C50,,
C51,,
C52,,
C53,,
C54,,
C55,,
C56,,
C57,,
C58,,
C59,,
C60,,
C61,,
C62,,
C63,,
C64,,
C65,,
C66,,
C67,,
C68,,
C69,,
C70,,
C71,,
C72,,
C73,,
C74,,
C75,,
C76,,
C77,,
C78,,
C79,,
C80,,
C81,,
C82,,
C83,,
C84,,
C85,,
C86,,
C87,,
C88,,
C89,,
C90,,
C91,,
C92,,
C93,,
C94,,
C95,,
C96,,
C97,,
C98,,
C99,,
C100,,
C101,,
